,bt,km,transmission,ownerNo,oem,modelYear,price,Insurance Validity,Fuel Type,Seats,RTO,Features,Mileage,Engine,Max Power,Torque,Color,No of Cylinder,Values per Cylinder,Turbo Charger,Length,Width,Height,Wheel Base,Gear Box,Steering Type,Front Brake Type,Rear Brake Type,Tyre Type,No Door Numbers,City
7594,Hatchback,30658,Manual,1,Tata,2018,424000.0,Comprehensive,Diesel,5 Seats,WB,9,27.28,1047,69.0,140.0,red,3,4,Yes,3746.0,1647.0,1535.0,2400.0,5,Power,Disc,Drum,Tubeless,5,Kolkata
7596,Hatchback,55073,Manual,1,Tata,2017,352000.0,Third Party insurance,Petrol,5 Seats,WB,9,23.84,1199,84.0,114.0,others,3,4,No,3746.0,1647.0,1535.0,2400.0,5,Power,Disc,Drum,Tubeless,5,Kolkata
7601,Hatchback,18060,Manual,1,Maruti,2019,352000.0,Zero Dep,Petrol,5 Seats,WB,9,24.7,796,47.3,69.0,red,3,4,No,3445.0,1490.0,1475.0,2360.0,5,Manual,Disc,Drum,Tubeless,5,Kolkata
7602,Sedan,94042,Manual,1,Honda,2014,319000.0,Comprehensive,Petrol,5 Seats,WB,9,18.0,1198,86.7,109.0,others,4,4,No,3990.0,1680.0,1505.0,2405.0,5,Power,Disc,Drum,Tubeless,4,Kolkata
7604,Hatchback,120000,Manual,2,Maruti,2009,140000.0,Third Party insurance,Petrol,5 Seats,UNKNO,9,18.9,998,67.1,90.0,gray,3,4,No,3595.0,1495.0,1700.0,2400.0,5,Power,Disc,Drum,Tubeless,4,Kolkata
7605,Hatchback,80000,Manual,1,Hyundai,2009,125000.0,Third Party insurance,Petrol,5 Seats,WB,9,17.92,1086,62.1,96.1,others,3,4,No,3565.0,1525.0,1590.0,2380.0,5,Power,Disc,Drum,Tubeless,5,Kolkata
7607,Hatchback,60000,Manual,3,Maruti,2010,160000.0,Third Party insurance,Petrol,5 Seats,UNKNO,8,18.5,1197,85.8,114.0,others,4,4,No,3775.0,1680.0,1620.0,2360.0,5,Power,Disc,Drum,Tubeless,5,Kolkata
7608,Hatchback,70000,Manual,2,Maruti,2010,120000.0,Third Party insurance,Petrol,5 Seats,UNKNO,0,19.5,1061,81.8,113.0,others,4,4,No,3995.0,1695.0,1505.0,2425.0,5,Power,Disc,Drum,Tubeless,5,Kolkata
7613,Hatchback,104900,Manual,1,Hyundai,2010,196000.0,Comprehensive,Petrol,5 Seats,WB,8,20.36,1197,78.9,111.7,gold,4,4,No,3585.0,1595.0,1550.0,2380.0,5,Power,Disc,Drum,Tubeless,4,Kolkata
7615,Sedan,90000,Manual,2,Maruti,2017,500000.0,Third Party insurance,Diesel,5 Seats,UNKNO,9,26.59,1248,74.0,190.0,others,4,4,Yes,3995.0,1695.0,1555.0,2430.0,5,Power,Disc,Drum,Tubeless,4,Kolkata
7616,Hatchback,28519,Manual,1,Tata,2020,649000.0,Comprehensive,Petrol,5 Seats,WB,9,19.33,1199,86.83,113.0,gold,3,4,No,3990.0,1755.0,1523.0,2501.0,5,Electronic,Disc,Drum,Tubeless,5,Kolkata
7617,Hatchback,88785,Manual,1,Honda,2016,386000.0,Third Party insurance,Petrol,5 Seats,WB,9,18.7,1199,88.7,110.0,silver,4,4,No,3955.0,1694.0,1544.0,2530.0,5,Power,Disc,Drum,Tubeless,5,Kolkata
7618,Hatchback,90000,Manual,2,Volkswagen,2015,300000.0,Third Party insurance,Petrol,5 Seats,WB,9,16.2,1199,74.0,110.0,others,3,4,No,3971.0,1682.0,1469.0,2469.0,5,Power,Disc,Drum,Tubeless,5,Kolkata
7620,Hatchback,80000,Manual,2,Hyundai,2017,560000.0,Third Party insurance,Petrol,5 Seats,WB,9,18.6,1197,81.83,114.7,silver,4,4,No,3985.0,1734.0,1505.0,2570.0,5,Power,Disc,Drum,Tubeless,5,Kolkata
7621,Hatchback,68832,Manual,2,Mahindra,2017,436000.0,Third Party insurance,Petrol,5 Seats,WB,8,18.15,1198,82.0,115.0,silver,3,4,No,3700.0,1735.0,1655.0,2385.0,5,Power,Disc,Drum,Tubeless,5,Kolkata
7625,Hatchback,110000,Manual,2,Maruti,2010,140000.0,Third Party insurance,Diesel,5 Seats,UNKNO,8,21.1,1248,73.9,190.0,others,4,4,No,3715.0,1680.0,1620.0,2360.0,5,Power,Disc,Drum,Tubeless,5,Kolkata
7626,Hatchback,60000,Manual,1,Maruti,2013,320000.0,Third Party insurance,Petrol,5 Seats,UNKNO,9,20.51,998,67.04,90.0,others,3,4,No,3599.0,1495.0,1700.0,2400.0,5,Power,Disc,Drum,Tubeless,5,Kolkata
7627,Hatchback,70000,Manual,2,Hyundai,2014,340000.0,Third Party insurance,Petrol,5 Seats,UNKNO,9,18.9,1197,82.0,114.0,others,4,4,No,3765.0,1660.0,1520.0,2425.0,5,Power,Disc,Drum,Tubeless,5,Kolkata
7628,Sedan,100000,Manual,2,Maruti,2011,250000.0,Third Party insurance,Petrol,5 Seats,UNKNO,9,17.5,1298,85.8,114.0,others,4,4,No,4160.0,1690.0,1530.0,2390.0,5,Power,Disc,Drum,Tubeless,4,Kolkata
