,bt,km,transmission,ownerNo,oem,modelYear,price,Insurance Validity,Fuel Type,Seats,RTO,Features,Mileage,Engine,Max Power,Torque,Color,No of Cylinder,Values per Cylinder,Turbo Charger,Length,Width,Height,Wheel Base,Gear Box,Steering Type,Front Brake Type,Rear Brake Type,Tyre Type,No Door Numbers,City
7644,Hatchback,28000,Manual,1,Ford,2015,259000.0,Comprehensive,Petrol,5 Seats,WB,9,18.16,1196,86.8,112.0,gray,4,4,No,3886.0,1695.0,1525.0,2491.0,5,EPAS,Disc,Drum,Tubeless,5,Kolkata
7647,Hatchback,6000,Manual,1,Maruti,2019,650000.0,Comprehensive,Petrol,5 Seats,WB,9,21.4,1197,83.1,115.0,blue,4,4,No,3995.0,1745.0,1510.0,2520.0,5,Power,Disc,Drum,Tubeless,5,Kolkata
7651,Hatchback,2704,Manual,1,Maruti,2022,553000.0,Zero Dep,Petrol,5 Seats,WB,9,21.7,998,65.71,89.0,silver,3,4,No,3565.0,1520.0,1567.0,2380.0,5,Power,Disc,Drum,Tubeless,5,Kolkata
7652,Hatchback,14425,Manual,1,Maruti,2022,632000.0,Zero Dep,Petrol,5 Seats,WB,9,24.97,998,65.71,89.0,brown,3,4,No,3695.0,1655.0,1555.0,2435.0,5,Electronic,Disc,Drum,Tubeless,5,Kolkata
7653,Hatchback,40000,Manual,1,Maruti,2018,330000.0,Third Party insurance,Petrol,5 Seats,WB,9,20.89,1197,81.8,113.0,others,4,4,No,3700.0,1690.0,1595.0,2435.0,5,Electronic,Disc,Drum,Tubeless,5,Kolkata
7654,Sedan,32488,Automatic,2,Volkswagen,2017,690000.0,Third Party insurance,Petrol,5 Seats,WB,9,18.19,1197,103.5,175.0,silver,4,2,Yes,4390.0,1699.0,1467.0,2553.0,7,Power,Disc,Drum,Tubeless,4,Kolkata
7655,Hatchback,73949,Manual,2,Honda,2012,219000.0,Comprehensive,Petrol,5 Seats,WB,9,19.4,1198,86.8,109.0,others,4,4,No,3610.0,1680.0,1500.0,2345.0,5,Power,Disc,Drum,Tubeless,5,Kolkata
7656,Hatchback,40000,Automatic,1,Maruti,2018,350000.0,Third Party insurance,Petrol,5 Seats,WB,9,23.1,998,67.04,90.0,silver,3,4,No,3695.0,1600.0,1560.0,2425.0,5,Power,Disc,Drum,Tubeless,5,Kolkata
7657,Hatchback,55920,Manual,2,Hyundai,2014,338000.0,Comprehensive,Petrol,5 Seats,WB,9,18.9,1197,82.0,114.0,others,4,4,No,3765.0,1660.0,1520.0,2425.0,5,Power,Disc,Drum,Tubeless,5,Kolkata
7658,SUV,30000,Manual,1,Ford,2017,500000.0,Third Party insurance,Petrol,5 Seats,WW,9,17.0,1497,121.36,150.0,others,3,4,No,3998.0,1765.0,1647.0,2519.0,5,Power,Disc,Drum,Tubeless,4,Kolkata
7659,Hatchback,33805,Manual,1,Maruti,2014,408000.0,Comprehensive,Petrol,5 Seats,WB,9,22.38,1197,88.5,113.0,others,4,4,No,3845.0,1735.0,1530.0,2450.0,5,Electronic,Disc,Drum,Tubeless,5,Kolkata
7660,Sedan,73781,Manual,1,Hyundai,2014,289000.0,Comprehensive,Petrol,5 Seats,WB,9,19.1,1197,82.0,114.0,others,4,4,No,3995.0,1660.0,1520.0,2425.0,5,Power,Disc,Drum,Tubeless,4,Kolkata
7661,Hatchback,50000,Manual,2,Maruti,2015,229999.0,Third Party insurance,Petrol,5 Seats,WB,8,22.74,796,47.3,69.0,white,3,4,No,3395.0,1490.0,1475.0,2360.0,5,Power,Disc,Drum,Tubeless,5,Kolkata
7662,Hatchback,65000,Manual,1,Hyundai,2014,395000.0,Third Party insurance,Petrol,5 Seats,WB,9,18.6,1197,81.83,114.7,red,4,4,No,3985.0,1734.0,1505.0,2570.0,5,Power,Disc,Drum,Tubeless,5,Kolkata
