,bt,km,transmission,ownerNo,model,modelYear,centralVariantId,variantName,price,Insurance Validity,Fuel Type,Transmission,Features,Comfort & Convenience,Safety,Mileage,Torque,Color,Engine Type,Displacement,No of Cylinder,Values per Cylinder,Value Configuration,Fuel Suppy System,BoreX Stroke,Compression Ratio,Turbo Charger,Super Charger,Length,Width,Height,Wheel Base,Front Tread,Rear Tread,Kerb Weight,Gross Weight,Gear Box,Drive Type,Seating Capacity,Steering Type,Turning Radius,Front Brake Type,Rear Brake Type,Top Speed,Acceleration,Tyre Type,No Door Numbers,Cargo Volumn,Wheel Size,City,RPM_BHP,Power_RTO
3505,8.0,61000,1,1,59,2016,1161,1061,430000.0,2.0,4,1,8,10,13,17.8,109.0,110,476.0,1198.0,4.0,4.0,8.0,53.0,51.37463617,12.45229249,1.0,1.0,3990.0,1680.0,1505.0,2405,1478.635627,1479.284494,940.0,1670.523356,5,12.0,5.0,6.0,5.01860252,5.0,7.0,174.018972,15.0,26.0,4.0,400.0,15.66402379,2,4586.7,6060.0
3508,8.0,28000,1,1,59,2014,1168,1517,380000.0,2.0,4,1,9,10,13,18.0,109.0,116,476.0,1198.0,4.0,4.0,8.0,35.26919603,51.37463617,12.45229249,1.0,1.0,3990.0,1680.0,1505.0,2405,1478.635627,1479.284494,950.0,1670.523356,5,12.0,5.0,6.0,5.01860252,5.0,7.0,174.018972,15.0,26.0,4.0,400.0,15.66402379,2,4586.7,6108.0
3509,7.0,36000,1,1,130,2020,6482,1540,825000.0,2.0,1,1,9,10,13,16.5,195.0,138,489.0,1493.0,4.0,4.0,8.0,6.0,51.37463617,12.45229249,5.0,1.0,3995.0,1745.0,1880.0,2680,1478.635627,1479.284494,1450.0,1670.523356,5,16.0,7.0,6.0,5.01860252,5.0,7.0,174.018972,30.3,26.0,5.0,690.0,15.66402379,2,2301.893989,3988.0
3510,8.0,32000,1,1,180,2017,5828,1764,635000.0,2.0,1,1,9,10,13,28.4,190.0,116,220.0,1248.0,4.0,4.0,3.0,4.0,51.37463617,12.45229249,5.0,1.0,3995.0,1735.0,1515.0,2450,1530.0,1520.0,1211.483843,1670.523356,5,12.0,5.0,6.0,5.01860252,5.0,7.0,174.018972,13.03,26.0,4.0,378.0,15.66402379,2,2074.02,4069.0
3511,7.0,38000,0,1,20,2017,338,2135,2250000.0,5.0,1,0,9,10,13,20.68,400.0,9,236.0,1995.0,4.0,4.0,3.0,6.0,143.0,16.5,5.0,1.0,4439.0,1821.0,1612.0,2670,1561.0,1562.0,1550.0,1670.523356,8,12.0,5.0,6.0,5.01860252,5.0,2.0,174.018972,7.8,9.0,5.0,505.0,17.0,2,2601.893989,4388.0
3512,2.0,33000,1,1,156,2017,3952,1287,340000.0,2.0,4,1,8,10,13,23.95,90.0,138,289.0,998.0,3.0,4.0,3.0,53.0,51.37463617,12.45229249,1.0,1.0,3545.0,1490.0,1475.0,2360,1295.0,1290.0,774.0,1210.0,5,12.0,5.0,6.0,5.01860252,22.0,7.0,174.018972,13.3,26.0,5.0,177.0,15.66402379,2,3567.1,6069.0
3513,8.0,68045,0,1,86,2018,5962,921,950000.0,5.0,1,0,9,10,13,22.0,178.9265066,116,426.0,1582.0,4.0,4.0,3.0,6.0,51.37463617,12.45229249,5.0,1.0,4440.0,1729.0,1475.0,2600,1478.635627,1479.284494,1285.0,1670.523356,6,12.0,5.0,6.0,5.01860252,5.0,7.0,174.018972,12.79590584,13.0,4.0,480.0,16.0,2,3126.2,4116.0
3516,2.0,19765,1,1,184,2018,4309,1273,392000.0,6.0,4,1,9,10,13,20.51,90.0,116,295.0,998.0,3.0,4.0,3.0,35.26919603,12.0,12.45229249,1.0,1.0,3599.0,1495.0,1700.0,2400,1295.0,1290.0,870.0,1350.0,5,12.0,5.0,6.0,5.01860252,22.0,7.0,152.0,18.6,19.0,5.0,180.0,15.66402379,2,3567.04,6263.0
3518,8.0,30560,1,1,63,2017,1215,2099,743000.0,6.0,4,1,9,10,13,17.8,145.0,116,469.0,1497.0,4.0,4.0,8.0,69.0,37.0,10.3,1.0,1.0,4440.0,1695.0,1495.0,2600,1480.0,1465.0,1049.0,1670.523356,5,12.0,5.0,6.0,5.01860252,5.0,7.0,174.018972,10.0,26.0,4.0,510.0,15.0,2,4717.3,6660.0
3520,2.0,47944,1,1,160,2018,6055,1830,485000.0,5.0,0,1,8,10,13,31.79,78.0,138,293.0,998.0,3.0,4.0,3.0,47.0,30.0,11.0,1.0,1.0,3695.0,1600.0,1560.0,2425,1420.0,1410.0,920.0,1350.0,5,12.0,5.0,6.0,5.01860252,22.0,7.0,174.018972,15.05,23.0,5.0,235.0,15.66402379,2,3558.33,6108.0
3521,7.0,78550,0,1,73,2016,1452,418,879000.0,2.0,4,0,9,10,13,13.0,151.0,138,450.0,1591.0,4.0,4.0,3.0,53.0,51.37463617,12.45229249,1.0,1.0,4270.0,1780.0,1630.0,2590,1478.635627,1479.284494,1280.0,1670.523356,6,12.0,5.0,6.0,5.01860252,5.0,7.0,174.018972,12.79590584,13.0,5.0,400.0,17.0,2,4971.3,6469.0
3522,7.0,65000,0,1,84,2017,5513,472,1050000.0,5.0,4,0,9,10,13,12.95,192.21,138,241.0,1999.0,4.0,4.0,3.0,53.0,51.37463617,12.45229249,1.0,1.0,4475.0,1850.0,1660.0,2670,1478.635627,1479.284494,1497.0,1670.523356,6,1.0,5.0,6.0,5.3,5.0,2.0,174.018972,12.79590584,26.0,5.0,513.0,18.0,2,4152.88,6253.0
3524,8.0,58996,1,2,59,2017,6415,1508,462000.0,2.0,4,1,9,10,13,19.5,110.0,116,476.0,1199.0,4.0,4.0,8.0,53.0,51.37463617,12.45229249,1.0,1.0,3995.0,1695.0,1501.0,2470,1478.635627,1479.284494,917.0,1670.523356,5,12.0,5.0,6.0,5.01860252,5.0,7.0,174.018972,15.0,26.0,4.0,420.0,15.66402379,2,4888.76,6053.0
